City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Nantucket,US,75.31,clear sky,41.2835,-70.0995,Jared Coffin House
13,Pundaguitan,PH,83.77,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
14,Pascagoula,US,84.25,clear sky,30.3658,-88.5561,Regency Inn
15,Salinopolis,BR,78.01,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
19,Alyangula,AU,81.59,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
26,Meadow Lake,US,75.11,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
27,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
36,Meulaboh,ID,82.02,overcast clouds,4.1363,96.1285,Kost Pria
37,Bethel,US,77.11,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
40,Lincoln,US,78.13,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
41,Sabang,ID,81.68,overcast clouds,5.8933,95.3214,Hotel Citra
44,Shitanjing,CN,79.77,clear sky,39.2342,106.3439,
46,Watertown,US,75.33,scattered clouds,42.3709,-71.1828,Apt downtown Waltham
51,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
54,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
63,Albany,US,75.15,light rain,42.6001,-73.9662,
71,Isangel,VU,80.71,haze,-19.55,169.2667,Tanna Lodge
77,Faanui,PF,77.41,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Hambantota,LK,84.33,overcast clouds,6.1241,81.1185,Bungalow 63
84,Jining,CN,83.39,overcast clouds,35.405,116.5814,Yunhe Star Hotel
87,Arrecife,ES,78.87,clear sky,28.963,-13.5477,Hotel Lancelot
89,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
90,Georgetown,MY,80.53,moderate rain,5.4112,100.3354,Cititel Penang
91,Paralimni,CY,79.09,clear sky,35.0375,33.9833,Amore Hotel Apartments
94,Khunti,IN,78.91,broken clouds,23.0833,85.2833,JD
95,Hamilton,US,77.85,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
96,Freeport,US,80.11,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
103,Panaba,MX,80.49,overcast clouds,21.2833,-88.2667,Posada rosario
110,Hithadhoo,MV,81.91,scattered clouds,-0.6,73.0833,Scoop Guest House
111,Palaikastron,GR,77.05,clear sky,35.2,26.25,Marina Village
115,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
118,Tamboril,DO,76.69,scattered clouds,19.4854,-70.611,Camp David Ranch Restaurant
119,Bubaque,GW,78.24,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
122,Acarau,BR,77.25,clear sky,-2.8856,-40.12,castelo pizzaria
124,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
125,Mount Pleasant,US,84.0,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
126,Marsh Harbour,BS,82.62,clear sky,26.5412,-77.0636,Abaco Beach Resort
128,Atambua,ID,84.79,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
134,Bull Savanna,JM,76.62,overcast clouds,17.8868,-77.5902,Big Red's
136,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
137,Nuevo Progreso,MX,83.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
138,Gizo,SB,83.34,broken clouds,-8.103,156.8419,Imagination Island
146,Charters Towers,AU,78.37,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
150,Kahului,US,80.62,light rain,20.8947,-156.47,Maui Seaside Hotel
155,Mana,GF,76.33,scattered clouds,5.6592,-53.7767,LE SAMANA
