City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,46.56,87,75,0.0,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,17.27,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,69.28,71,99,21.88,overcast clouds
3,Ponta Do Sol,PT,32.6667,-17.1,70.43,62,0,3.22,clear sky
4,Port Alfred,ZA,-33.5906,26.891,55.81,81,45,4.63,scattered clouds
5,Bluff,NZ,-46.6,168.3333,47.8,75,93,29.64,light rain
6,Ushuaia,AR,-54.8,-68.3,29.86,74,75,10.36,broken clouds
7,Hedensted,DK,55.7704,9.7011,56.89,94,49,12.91,scattered clouds
8,Hilo,US,19.7297,-155.09,80.33,79,20,6.91,few clouds
9,Angoram,PG,-4.0625,144.0661,91.56,49,31,4.72,scattered clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,71.55,85,75,5.99,broken clouds
11,Cape Town,ZA,-33.9258,18.4232,54.88,72,75,4.0,broken clouds
12,Nantucket,US,41.2835,-70.0995,75.31,76,1,5.75,clear sky
13,Pundaguitan,PH,6.3711,126.1689,83.77,69,21,4.27,few clouds
14,Pascagoula,US,30.3658,-88.5561,84.25,94,1,0.0,clear sky
15,Salinopolis,BR,-0.6136,-47.3561,78.01,86,31,8.79,moderate rain
16,Busselton,AU,-33.65,115.3333,60.08,82,97,9.86,overcast clouds
17,Kruisfontein,ZA,-34.0033,24.7314,50.88,90,97,14.41,light rain
18,Wuzhou,CN,23.4833,111.3167,87.26,69,88,3.42,overcast clouds
19,Alyangula,AU,-13.8483,136.4192,81.59,56,3,10.4,clear sky
20,Hailar,CN,49.2,119.7,64.99,85,100,17.49,overcast clouds
21,Port Blair,IN,11.6667,92.75,86.04,84,40,10.36,scattered clouds
22,Tigil,RU,57.8,158.6667,57.79,87,100,9.31,overcast clouds
23,Saskylakh,RU,71.9167,114.0833,58.62,53,83,4.81,broken clouds
24,Shakawe,BW,-18.3667,21.85,57.83,26,0,4.92,clear sky
25,Geraldton,AU,-28.7667,114.6,70.21,52,1,12.66,clear sky
